,name,type,ingredient,abv,volume,description,imageURL
166,토끼구름,탁주,"정제수, 쌀, 올리고당, 전분, 조효소제, 혼합제제",6.8%,750ml,울산 햅쌀로 빚은 삼양주 막걸리로 합성 감미료를 첨가하지 않아 순하고 자연스러운 단맛을 느낄 수 있으며 목 넘김이 부드럽다. 새콤한 산미가 요구르트를 연상시키며 우유처럼 크리미한 질감이 특징이다.,https://thesool.com/common/imageView.do?targetId=PR00000100&targetNm=PRODUCT
167,톡쏘는 고구마동동,탁주,"쌀, 정제수, 입국, 고구마 농축액, 고구마 추출물 등",6%,750ml,"톡쏘는 고구마동동은 기존 출시된 ""톡쏘는 알밤동동""의 확장 제품으로, 막걸리 고유의 맛과 부드러운 자색고구마의 맛과 향을 즐길 수 있는 제품이다. 막걸리에 그대로 담아 특유의 고소한 맛으로 목 넘김이 부드럽고, 은은한 향까지 느낄 수 있어 누구나 부담 없이 마시고 느낄 수 있는 막걸리다.",https://thesool.com/common/imageView.do?targetId=PR00000156&targetNm=PRODUCT
168,톡쏘는 쌀 막걸리,탁주,국내산 쌀,6%,"750ml,950ml","2010 소믈리에 햅쌀막걸리 품평회 1위선정, 2011 대한민국우리술품평회 우수상 (살균막걸리 부문), 2011 농식품부 수출전진대회 건배주",https://thesool.com/common/imageView.do?targetId=PR00000236&targetNm=PRODUCT
169,톡쏘는 알밤동동,탁주,"쌀, 정제수, 입국, 밤 농축액, 밤 추출물 등",6%,750ml,톡 쏘는 알밤동동은 기성세대만 마신다는 막걸리의 이미지를 버리고 신세대를 겨냥한 새로운 막걸리로 우리 햅쌀에 국산 밤을 달달 하게 녹여 톡 쏘는 탄산까지 조합해 최적의 레시피로 완성한 상품이다. 20~30대 새로운 스타일의 막걸리로 캔의 디자인부터 아이디어가 톡톡 넘치는 알밤동동은 달달 한 맛이 밤맛 아이스크림을 먹는 듯한 착각을 불러 일으켜 누구나 쉽게 마실 수 있는 막걸리다.,https://thesool.com/common/imageView.do?targetId=PR00000157&targetNm=PRODUCT
170,톡쏘는 옥수수동동,탁주,"쌀, 정제수, 입국, 옥수수 농축액, 옥수수 추출물 등",6%,750ml,"톡쏘는 옥수수동동은 2016년 출시된 ""톡쏘는 알밤동동""과 2018년 출시된 ""톡쏘는 고구마동동""의 확장 제품이다. 세계 3대 작물 중 하나인 옥수수를 넣어 달콤하고 부드러운 옥수수 수프를 연상시키는 전통주로, 청정지역 가평의 지하 250ｍ 천연암반수를 원료로 사용하며 알코올 도수는 6도다.",https://thesool.com/common/imageView.do?targetId=PR00000155&targetNm=PRODUCT
171,팔공산미나리 생막걸리,탁주,"쌀, 소맥분, 전분당, 정제수, 무농약 미나리추출액, 정제효소, 종국, 효모, 아스파탐, 밀 함유",6%,750ml,미나리 생막걸리는 혈압을 내리고 중금속해독능력이 뛰어난 친환경 미나리를 사용하여 빚은 막걸리로 대구 팔공산 일대의 농가에서 생산하여 5년간 숙성한 미나리발효원액을 첨가해 쌀과 막걸리의 산성화를 중화하여 막걸리의 트림현상과 숙취가 거의 없는 것이 특징이다.,https://thesool.com/common/imageView.do?targetId=PR00000224&targetNm=PRODUCT
172,팔팔막걸리,탁주,"정제수, 쌀(김포산, 김포금쌀), 국, 산도조절제, 효모, 밀함유",6%,750ml,"팔팔막걸리는 특 등급의 김포금쌀만을 사용해서 빚으며 감미료 없이 만들어졌다. 발효곡주 고유의 부드러움, 은은한 단맛, 산미가 어우러져 시트러스 계열의 과일향이 난다. 마시고 난 뒤 입안에 남지 않는 깔끔한 피니쉬가 가장 큰 매력이다. 1~3주 차에는 탄산이 없으며 맛의 부드러움이 깊어진다.",https://thesool.com/common/imageView.do?targetId=PR00000724&targetNm=PRODUCT
173,편백숲 산소막걸리,탁주,"쌀, 사과농축액,누룩,올리고당,아스파탐",5.2%,750ml,"청산녹수 기업부설연구소의 O2 발효 기술과 한국식품연구원이 전통누룩에서 찾은 토종효모를 사용하여 만든 막걸리. 저온에서 장기 발효를 거쳐 부드러운 맛과 달콤한 향기가 특징이다. 산소를 의미하는 O2 같은 알코올도수 5.2도로 만들었다. O2 발효기술은 효모 발효를 산소제어기술과 삼투압생선기술을 분석해 만들었으며, 자연적으로 발생하는 바나나 또는 메론 향기를 담기위해 15도 이하 극저온에서 장기간 발효하는 방법을 사용했다.",https://thesool.com/common/imageView.do?targetId=PR00000167&targetNm=PRODUCT
174,편백숲 산소막걸리 딸기 스파클링,탁주,"찹쌀, 멥쌀, 누룩, 딸기, 올리고당",6.8%,940ml,"전남 장성군에서 재배한 쌀과, 장성군 특산물 딸기를 사용하여 빚은 막걸리. 딸기를 저온에서 쌀과 함께 발효시켜 딸기의 향기와 함께 새콤 달콤한 싱그러운 맛이 상큼하다.",https://thesool.com/common/imageView.do?targetId=PR00000164&targetNm=PRODUCT
175,편백숲 산소막걸리 순수령,탁주,"찹쌀, 맵쌀, 누룩",5.8%,750ml,"편백숲 산소막걸리 순수령은 오직 멥쌀, 찹쌀, 누룩, 물로만 빚어 막걸리 본연의 맛을 찾은 무첨가 프리미엄 막걸리다. 청산녹수 기업부설연구소의 O2 발효 기술과 한국식품연구원이 전통누룩에서 찾은 토종효모를 사용했다. 저온에서 장기 발효와 숙성을 거쳐 부드러운 맛과 달콤한 향기가 특징이다.",https://thesool.com/common/imageView.do?targetId=PR00000166&targetNm=PRODUCT
176,편백숲 산소막걸리 순수령 8%,탁주,"찹쌀, 맵쌀, 누룩",8%,750ml,"오직 멥쌀, 찹쌀, 누룩, 물로만 빚어 막걸리 본연의 맛을 찾은 무첨가 프리미엄 막걸리. 순수령 5.8도와 비교하여 보다 무게감 있는 바디감이 특징이며, 찹쌀에서 나오는 순수한 단맛이 일품이다.",https://thesool.com/common/imageView.do?targetId=PR00000165&targetNm=PRODUCT
177,편백숲 산소막걸리 스파클링,탁주,"찹쌀, 맵쌀, 누룩",6.8%,940ml,"편백숲 산소막걸리 스파클링은 멥쌀, 찹쌀, 누룩, 물로만 빚어 막걸리 본연의 맛을 찾은 무첨가 프리미엄 막걸리다. 샴페인과 같은 강렬한 탄산감이 찹쌀에서 나오는 순수한 단맛과 어울러져 청량감을 느낄 수 있다.",https://thesool.com/common/imageView.do?targetId=PR00000163&targetNm=PRODUCT
178,풍정사계 추(秋),탁주,풍정사계 추(秋),12%,500ml,추는 설기로 밑술한 법술을 발효 후 저온 숙성한 탁주로 옹기에서 100일 저온숙성해 만든 술로 완전발효되어 숙취가 없고 뒤끝이 깨끗합니다. 특유의 꽃향이 있으며 쓴맛과 단맛 어느 하나에 치우치지 않아 조화롭고 진한 아이보리색을 띠며 막 익은 과실의 신선한 향이 있고 새콤달콤한 맛이 느껴지는 술입니다.,https://thesool.com/common/imageView.do?targetId=PR00000125&targetNm=PRODUCT
179,하얀까마귀,탁주,"물, 쌀(국내산), 국, 효모, 밀함유",8%,850ml,"경기미 세마쌀로 빚고 삼양주로 직접 담근 무첨가 생막걸리이다. 세번에 걸쳐 정성을 다해 빚는 삼양주로 원재료의 풍미를 더욱 돋우고, 부드러운 목넘김을 즐길 수 있다. 첨가물이 들어가지 않고 물과 국산우리밀 누룩, 경기밀 세마쌀만을 이용하여 빚은 무첨가 프리미엄 탁주이다.",https://thesool.com/common/imageView.do?targetId=PR00000725&targetNm=PRODUCT
180,하얀연꽃 백련막걸리,탁주,국내산 쌀,7%,375ml,신평양조장은 막걸리를 옛날의 술로 머물게 하지 않고 오늘날 우리삶속에서 같이 호흡할 수 있도록 막걸리의 모던프리미엄주의를 지향한다. 하얀연꽃 백련막걸리는 전통적으로 사찰에서 전수되어온 백련곡차의 현대적 복원으로 당진 해나루쌀을 사용하여 술의 빛깔이 밝고 부드러우며 백련잎을 발효과정에 첨가하여 맛이 은은하고 부드러운 것이 특징이다.,https://thesool.com/common/imageView.do?targetId=PR00000233&targetNm=PRODUCT
181,하얀연꽃 백련생막걸리,탁주,"국내산 백미, 국내산 백련잎",7%,"375ml,750ml",신평양조장은 막걸리를 옛날의 술로 머물게 하지 않고 오늘날 우리 삶 속에서 같이 호흡할 수 있도록 막걸리의 모던 프리미엄주의를 지향한다. 간척지 토양에서 해안해풍을 맞고 자란 충남당진 쌀을 주 원료로 하며 깔끔한 맛을 내기위해 백련잎을 첨가했다. 80년이상 된 숨 쉬는 재래식항아리에서 철저한 온도관리에 의해 발효하여 소량 한정 생산되는 수제프리미엄막걸리로 깊은 맛과 은은한 탄산의 조화가 일품이며 안개와 같이 은은하면서도 신비로운 맛이 특징이다.,https://thesool.com/common/imageView.do?targetId=PR00000227&targetNm=PRODUCT
182,한강의설레임,탁주,"쌀(김포산), 개량누룩, 효모, 정제수",11%,600ml,"한강하구 김포평야에서 생산된 5천년 전통 김포쌀(추청, 아끼바리)이 들어간 술로 인공첨가물이 전혀 없는 쌀, 물, 누룩, 효모만으로 무증자, 생쌀발효기법으로 만들었다. 막걸리 윗 부분의 맑은 부분을 마시면 마치 화이트 와인 같은 향기 좋은 술맛을 느낄 수 있고 후에 흔들어 마시면 산도는 적고 목넘김이 부드러운 달달한 맛이 채워진다. 향미증진 효모HY2013가 사용된 술로 향미는 우리나라 볏짚에서 분리한 효모로 특허등록이 됐으며 전통주에 최적화된 국내선발 유일한 양조효모 등으로 알려져있다.",https://thesool.com/common/imageView.do?targetId=PR00000760&targetNm=PRODUCT
183,해창 막걸리 9도,탁주,"햅쌀, 찹쌀, 물, 누룩",9%,900ml,찹쌀의 감칠맛과 멥쌀의 센맛이 조화롭게 잘 어우러진 술입니다. 원재료의 단맛이 약하게 느껴지며 적당한 산미가 느껴지는 술입니다.,https://thesool.com/common/imageView.do?targetId=PR00000130&targetNm=PRODUCT
184,홍천강 탁주,탁주,"홍천 쌀, 정제수, 국(밀 누룩)",11%,500ml,홍천강 탁주는 강원도 골짜기에서 골골히 모여 내려오는 계곡물로 이루어진 홍천강의 청정한 이미지를 형상화 했다. 홍천의 쌀과 누룩으로 숙성시킨 전통주로 찹쌀과 멥쌀을 3:1 비율로 섞어 빚은 이양주(두 번 빚은 술)로 멥쌀 술 특유의 드라이함과 담백함을 가지고 있습니다. 홍천강 탁주는 아스파탐 등의 감미료가 들어가지 않는 생 탁주로 전통누룩을 사용하고 홍천의 쌀과 멥쌀을 이용하여 두 번을 빚는 이양주입니다. 기교를 부리지 않고 있는 그대로 만들어 내는 홍천 예술의 전통을 그대로 느낄 수 있는 전통주로 옛 막걸리의 맛을 느끼기에 알맞은 술입니다.,https://thesool.com/common/imageView.do?targetId=PR00000204&targetNm=PRODUCT
185,황감찰,탁주,"국내산 쌀, 찹쌀, 누룩, 효모, 정제수",8%,750ml,"울산의 지역 햇찹쌀, 햅쌀과 전통방식 누룩을 사용해 깔끔한 맛이 특징이다. 막걸리가 가지고 있는 진한맛을 극대화 하기 위해 100일 이상 장기 숙성한다. 높은 감칠맛과 깔끔하게 떨어지는 맛이 특징이며 균형있고 깔끔한 맛을 자랑한다.",https://thesool.com/common/imageView.do?targetId=PR00000094&targetNm=PRODUCT
186,황도배기 햅쌀막걸리,탁주,고창 황토배기 햅쌀,6%,900ml,"국내 최초로 원적외선이 방출되는 황토 토굴에서 발효, 숙성시키며 100% 국내산 햅쌀을 증자후 저온에서 장기간 발효시키는 방법으로 빚어 막걸리고유의 맛과 향이 뛰어나다.",https://thesool.com/common/imageView.do?targetId=PR00000250&targetNm=PRODUCT
187,희양산 막걸리 15도,탁주,"정제수, 쌀(국내산), 누룩(국내산), 효모",15%,500ml,옅은 단맛과 약간의 신맛이 느껴지는 막걸리입니다. 담백하고 깔끔한 맛을 가지고 있으며 15도의 높은 도수를 가지고 있음에도 부드러운 목넘김이 일품인 술입니다.,https://thesool.com/common/imageView.do?targetId=PR00000132&targetNm=PRODUCT
188,희양산 막걸리 9도,탁주,"정제수, 쌀(국내산), 누룩(국내산), 효모",9%,750ml,옅은 단맛과 약간의 신맛이 조화로워 깔끔하고 담백한 맛이 일품이며 부드러운 목넘김을 가지고 있습니다.,https://thesool.com/common/imageView.do?targetId=PR00000133&targetNm=PRODUCT
1,가야곡왕주,"양주, 청주","쌀, 야생 국화, 구기자, 오미자, 솔잎, 매실",13%,750ml,"조선의 마지막국모 명성황후 민씨의 친정에서 빚던 가양주로 종묘대제의 제주(祭酒)로 사용되고 있다. 제철에 채취한 초, 근, 목, 피를 이용해야 약재의 효능을 최고로 끌어올릴 수 있는데, 가야곡왕주는 가야곡의 맑은 물과 제철솔잎, 구절초, 홍삼, 매실 등을 이용해 술에 다양한 맛과 향을 불어 넣은 좋은 약주라 할 수 있다.",https://thesool.com/common/imageView.do?targetId=PR00000350&targetNm=PRODUCT
2,감사,"양주, 청주","쌀(국내산 경기미 100%), 누룩, 정제수",14%,375ml,값진 인연에 감사와 사랑을 전한다는 뜻을 담아 만든 전통 청주입니다. 주정과 조미료를 쓰지 않고 오로지 멥쌀로만 빚어 깔끔하고 드라이합니다. 부드러운 단맛과 은은한 과실향의 산미가 여운을 남깁니다. 한결 더 정돈된 맛의 살균약주 ‘감사 블루’도 인기입니다.,https://thesool.com/common/imageView.do?targetId=PR00000330&targetNm=PRODUCT
3,감사블루,"양주, 청주","쌀(국내산 경기미 100%), 누룩, 효모, 정제수",14%,375ml,"감사블루는 값진 인연에 감사와 사랑을 전한다는 뜻을 담아 만든 술샘의 &quot;감사&quot;를 살균한 약주입니다. 주정과 조미료를 쓰지 않고 오로지 멥쌀로만 빚어 깔끔하고 드라이합니다. 은은하게 올라오는 과실향과 익은 곡물 맛이 특징이며, 전체적으로 단맛과 신맛 등 오미의 균형이 잘 갖춰져 있고, 부드러운 목넘김을 가지고 있습니다.",https://thesool.com/common/imageView.do?targetId=PR00000326&targetNm=PRODUCT
4,감자술 13%,"양주, 청주","국내산 백미, 국내산 감자, 누룩, 효모, 정제수",13%,700ml,"""감자술""은 국내 유일의 감자를 주원료로 만든 약주이다. 강원도의 특산품 감자를 발효시켜 빚은 술로 감자와 곡물이 어우러져 은은한 향이 풍미를 더해 준다. 2018년에는 평창동계올림픽성공을 기념하기 위해 청와대 명절선물로 선정되기도 했다. 강원도 오대산에서 흘러내린 맑은 물 오대천과 고랭지에서 재배한 최상급 감자가 만나 강원도를 대표하는 ""감자술""이 빚어졌다.",https://thesool.com/common/imageView.do?targetId=PR00000281&targetNm=PRODUCT
5,경산대추약주 추,"양주, 청주","찹쌀, 맵쌀 , 누룩, 대추 (국내산100%)",16%,375ml,"경산의 특산품인 대추의 효능을 살려 정성껏 빚어낸 경산의 대표 전통주입니다. 청아하고 은은한 색과 은은한 질감, 감미로운 맛, 그윽한 향과 함께 느껴지는 청량감이 특징인 명주로써 웰컴주, 만찬주로 추천하고 있습니다. 국내산 100%로 빚어진 경산대추약주 추는 우리술품질 나형을 인증받고, 국제식음료품평회에서 국제우수미각상을 수상한 우리 술 입니다.",https://thesool.com/common/imageView.do?targetId=PR00000703&targetNm=PRODUCT
6,경성과하주,"양주, 청주","국내산 찹쌀, 국내산 누룩, 증류원액",20%,375ml,"‘경성과하주’는 우리술을 복원, 연구·제조해온 술아원에서 기존 과하주 3종에 이어 새롭게 출시한 제품으로 고문헌에 입각해 가장 충실하게 복원한 제품이다. 찹쌀의 진한 단맛, 상큼한 과실향이 매력적이며 20도라는 비교적 높은 알코올 도수가 튀지 않을 정도로 부드러운 목 넘김과 단맛과 산도의 균형감이 좋다.",https://thesool.com/common/imageView.do?targetId=PR00000302&targetNm=PRODUCT
7,경주교동법주,"양주, 청주",찹쌀(국내산),16%,900ml,"350년 이상의 전통을 가진 찹쌀로 빚은 약조로 기능보유자가 직접 손수 빚는 중요무형문화재 술 이다. 모두 수작업으로 이루어지므로 생산되는 양이 적다. 경주교동법주는 찹쌀로 빚은 청주라 부르기도 하는데 청주는 예로부터 겨울 술이라 하여 교동법주 역시 여름에는 술을 빚지 않는다. 찹쌀 특유의 쌉싸름한 맛과 단맛, 신맛을 느낄 수 있으며 누룩 향과 본연의 독특한 향이 잘 어우러져 있다. 술에 어떠한 처리도 하지 않기 때문에 살아있는 술로 반드시 냉장보관 해야 하며 차게 해서 먹는 것이 훨씬 좋다.",https://thesool.com/common/imageView.do?targetId=PR00000333&targetNm=PRODUCT
8,고흥유자주 봄에디션,"양주, 청주","쌀, 입국, 누룩, 유자, 원당",8%,500ml,"시트러스 감성 전통주 고흥유자주. 고흥유자주는 100% 고흥유자, 고흥쌀로 빚은 살균 약주로 고흥 지역 특산주이다. 유자 특유의 상큼함과 적당한 달콤함이 느껴지는 &#039;고유&#039;는 과거의 우리술과 현재의 우리 취향이 만나는 경험을 가져다 준다. 입안 전체에 퍼지는 유자향부터 목넘김 후 느낄 수 있는 곡물의 고소함까지 다양한 매력이 느껴지는 전통주이다. 고유는 전통 &#039;곡주&#039;로 유자소주, 과실주, 담금주와 다르다.",https://thesool.com/common/imageView.do?targetId=PR00000727&targetNm=PRODUCT
9,구기홍주 14,"양주, 청주","국내산 쌀, 국, 구기자추출액, 올리고당, 효모, 효소, 아세설팜칼륨, 정제수",14%,"360ml,750ml",구기홍주 14는 전남 진도의 전통명주 진도홍주를 알코올 14도의 부드러운 술로 재해석한 약주이다. 청양의 특산물인 구기자와 함께 빚어 은은한 향과 감칠맛이 일품이다. 100일 이상을 10도 이하의 초저온에서 숙성한 후 정밀 여과기를 거쳐 맑고 투명한 붉은빛이 감도는 술이 만들어진다. 발효촉진제를 사용하지 않고 긴 시간을 숙성시켜 깔끔한 뒷맛과 부드러운 목넘김이 특징이다.,https://thesool.com/common/imageView.do?targetId=PR00000280&targetNm=PRODUCT
10,그리움,"양주, 청주","국내산 쌀, 누룩, 효모, 정제수",14%,700ml,전통 차례주 그리움은 어떠한 첨가물도 들어있지 않고 질 좋은 경기미로만 만들어져 있어 명절 기름진 음식에 어울리는 담백한 차례주이다. 저온 발효와 숙성을 통해 자기 주장이 강하지 않고 드라이하며 향기롭다.,https://thesool.com/common/imageView.do?targetId=PR00000282&targetNm=PRODUCT
11,금산인삼주 12.5%,"양주, 청주","국내산쌀 93.5%, 국내산인삼 6.5%",12.5%,360ml,"약효가 뛰어난 5년근 이상 인삼을 사용하여 쌀과 누룩 등의 원료와 천연암반수를 사용하여 저온 발효시킨 양조주로서, 소주에 단순히 인삼을 담가 우려낸 침출주와는 달리 은은한 인삼의 청향과 풍미를 만끽할 수 있다.",https://thesool.com/common/imageView.do?targetId=PR00000351&targetNm=PRODUCT
12,기다림 맑은술,"양주, 청주","국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",15%,500ml,"""기다림 맑은술""은 깔끔한 느낌을 유지하면서도 주원료인 찹쌀의 감칠맛을 살린 순하면서도 묵직함을 겸비하고 있는 약주이다. 단어로 정의 할 수 없는 풍부하고 오묘한 향과 맛을 자랑한다. 멥쌀, 찹쌀, 곡자(밀누룩), 정제수 이외에 어떠한 인공첨가물이 추가되지 않고 빚어낸다. 부산의 시화 ""동백꽃""을 모티브로 하고 동백꽃의 꽃말이기도한 ""기다림""을 브랜드로 하였다.",https://thesool.com/common/imageView.do?targetId=PR00000279&targetNm=PRODUCT
13,김포별주,"양주, 청주","쌀, 옥수수 전분, 국, 효모, 젖산, 효소제, 정제수",13%,500ml,"‘김포’란 금을 파는 가게이고 ""예주""란 맛있는 술을 뜻한다.* 즉 금처럼 값지고 맛있는 술을 담아 고객에게 전한다는 의미를 담고 있다. 김포별주는 옅은 필수 아미노산을 다량 함유하고 있어 피로회복을 돕는 전통 약주이며 액당화 원료처리 공법으로 제조되어 맛의 깊이가 탁월한 제품이다. ‘김포별주’는 부드럽고 목 넘김과 단맛, 신맛, 감칠맛이 어우러져 입안에서 다양한 맛을 느낄 수 있는 제품이다. 쌀과 옥수수전분의 액당화처리공법으로 만들어 곡물 향보다는 은은한 과실 향이 난다. 주원료로 옥수수와 쌀의 사용되어 은근한 단맛을 느낄 수 있고 은은한 향취와 산뜻한 뒷맛이 일품이다. * ""김포""란 금을 파는 가게이고 ""별주""란 특별하게 빚은 술을 뜻한다.",https://thesool.com/common/imageView.do?targetId=PR00000313&targetNm=PRODUCT
14,김포약주,"양주, 청주","옥수수 전분, 밀, 국, 효모, 젖산, 효소제, 정제수",11%,750ml,"""김포""란 금을 파는 가게이고 ""예주""란 맛있는 술을 뜻한다. 즉 금처럼 값지고 맛 있는 술을 담아 고객에게 전한다는 의미를 담고 있다. 김포약주는 옅은 황금빛을 보이고 있으며 거부할 수 없는 미묘한 단맛이 확실하게 느껴지는 모난 곳이 없는 친근한 맛을 자아낸다. 미묘한 신맛이 산미를 이끌고 달콤한 향이 은근하게 감돈다.",https://thesool.com/common/imageView.do?targetId=PR00000314&targetNm=PRODUCT
15,김포예주,"양주, 청주","국내산 쌀, 옥전분",13%,750ml,"김포란 금을 파는 가게이고 예주란 맛있는 술을 말한다. 즉, 맛있는 술과 부를 함께 담아들인다는 의미이다. 김포예주는 옅은 황금빛을 보이고 있으며 거부할 수 없는 미묘한 단맛이 확실하게 느껴지며 모난 곳이 전혀 없는 친근한 맛이다. 감추어진 신맛이 훌륭한 악센트이며 특징이다. 목 넘김이 부드럽고 마시고 난 후에 속이 따뜻해진다. 원료처리 시 액화하는 과정에서 나오는 곡물 특유의 향(잘 익은 과일향)을 그대로 유지한 것이 특징이다.",https://thesool.com/common/imageView.do?targetId=PR00000342&targetNm=PRODUCT
16,김포예주 프리미엄,"양주, 청주","국내산 쌀, 국, 효모, 젖산, 정제수",13%,750ml,"""김포""란 금을 파는 가게이고 ""예주""란 맛있는 술을 뜻한다. 즉 금처럼 값지고 맛 있는 술을 담아 고객에게 전한다는 의미를 담고 있다. 김포예주 프리미엄은 옅은 황금빛을 보이고 있으며 거부할 수 없는 미묘한 단맛이 확실하게 느껴지는 모난 곳이 없는 친근한 맛을 자아낸다.",https://thesool.com/common/imageView.do?targetId=PR00000315&targetNm=PRODUCT
17,김포특주,"양주, 청주","국내산 쌀, 효모, 정제효소,정제수, 프락토올리고당",15%,375ml,"""김포특주""는 최상급 풀질로 인정 받고 있는 ""김포금쌀""을 원료로 만든 제품이다. 김포특주는 밑술을 만들고 1차, 2차 발효를 거치는 것은 막걸리로 같다. 다만 2차 발효 후 15일 이상 추가로 발효시키고 압착하는 과정을 거치며 비로소 김포특주가 완성된다. 항간에 젊은 충의 입맛을 손쉽게 유혹하기 위해서는 저렴한 인공감미료인 아스파탐이나 저급 물엿을 넣고 술을 빚는 양조장도 있지만 김포특주는 천연감미로 프락토 올리고당으로 제품의 단맛을 냈다.",https://thesool.com/common/imageView.do?targetId=PR00000310&targetNm=PRODUCT
18,노미,"양주, 청주","국내산 찹쌀, 국내산 쌀",18%,700ml,노미는 친환경 찹쌀과 쌀을 이용하여 쌀제곡과 전통누룩을 원재료로 빚은 깊고 부드러운 맛의 전통약주이다. 옛 제조방법은 밀 누룩으로 발효제를 만들어 사용해오다가 현대제조기법인 우리 쌀로 발효제를 만들어 현대인의 입맛에 잘 맞으며 깔끔한 뒷맛은 물론 취기가 오래가지 않는 최고의 약주이다. 차게 해서 마시면 더욱 좋다.,https://thesool.com/common/imageView.do?targetId=PR00000344&targetNm=PRODUCT
19,녹파주,"양주, 청주","국내산 찹쌀, 멥쌀, 누룩, 정제수",15%,375ml,"녹파주는 우리나라 최초로 발간된 요리책인 [산가요록]에 실려있던 고려시대 대표주이다. 여러 고문헌에도 제조법이 수록되어 있는 것으로 보아 그 인기를 짐작할 수 있다. 잔에 담긴 모습이 마치 거울에 비친 푸른 파도같이 맑다 하여 녹파주란 이름이 붙여졌다. (주)솔송주가 농촌진흥청과 함께 현대인에 맞게 재해석한 고급약주로서 녹파주 한잔에는 깔끔함과 풍미, 그리고 세련됨이 담겨 있다.",https://thesool.com/common/imageView.do?targetId=PR00000278&targetNm=PRODUCT
20,느린마을 약주,"양주, 청주",,12%,700ml,"쌀로 발효한 라이스 와인으로, 첫 입에 신선한 산미와 뒤이어 은은하게 퍼지는 단맛이 밸런스가 좋고, 쌀의 깊은 풍미가 메워 기분 좋은 여운을 남기는 술이다.",https://thesool.com/common/imageView.do?targetId=PR00000784&targetNm=PRODUCT
21,능이주,"양주, 청주","국내산 쌀, 능이농축액, 누룩, 정제수",13%,375ml,"""능이주""는 본초강목에 고기를 먹고 체했을 때 다려 먹으면 좋다는 약재로 알려진 능이버섯으로 빚은 약주이다. 독특한 향과 맛으로 소비자들에게 많은 호응을 얻고 있는 제품으로 미국 캘리포니아 리버사이드 국제 와인대회와 LA 국제와인대회에서 수상을 하며 세계인의 입맛도 사로잡았다. 고기나 기름진 음식을 먹을 때 차갑게 하여 마시면 좋은 궁합을 이룬다.",https://thesool.com/common/imageView.do?targetId=PR00000322&targetNm=PRODUCT
22,니모메,"양주, 청주","쌀(국내산), 감귤 진피, 정제수",11%,375ml,니모메(NIMOME)는 제주 방언으로 &amp;quot;너의 마음에&amp;quot;라는 의미를 담고 있다. 니모메는 제주산 쌀과 귤피를 원료로 제조한다. 술의 발효과정에 제주감귤진피를 함께 넣어서 제주도 특유의 천연 향으로 상큼함이 더했다.,https://thesool.com/common/imageView.do?targetId=PR00000323&targetNm=PRODUCT
23,대윤 가야곡 왕주,"양주, 청주","쌀, 누룩, 효모, 물엿, 정제수",13%,300ml,"""대윤가야곡주조""는 오랜 전통의 ""가야곡왕주""가 ""대윤가야곡주조""로 새출발을 하며 현대적 감성을 가진 진화하는 전통주 상품개발의 일환으로 선보인 제품이다. 엄선된 우리 쌀과 충남 논산의 깨끗한 물로 정성껏 빚었다. 야생 국화, 구기자로 정성껏 빚어낸 약주에 물엿과 사과 엑기스로 풍미를 더한다. 현대인의 식생활 패턴을 반영하여 아스파탐과 같은 인공감미료를 전혀 사용하지 않고 물엿과 사과 엑기스를 사용하여 타사 제품 대비 낮은 당도와 깔끔한 맛은 물론 숙취까지 적은 고급 약주이다.",https://thesool.com/common/imageView.do?targetId=PR00000277&targetNm=PRODUCT
24,대통대잎술,"양주, 청주","쌀, 누룩, 갈근, 구기자, 솔잎, 진피 등",15%,700ml,"사군자(四君子) 중 하나인 대나무는 많은 문인고사들이 그 청고하고 단아한 정취와 품격을 나타내고자 사용한 예술에 불가결의 존재였으며, 동시에 군왕의 높은 덕망과 비유되어 칭송되어 그 고결한 아름다움이 마치 군자와 같다고 비유되어왔다. 대한민국 식품명인 22호 양대수 명인의 혼이 담긴 담양의 대나무 전통주인 담양 대통대잎술은, 쌀과 각종 한약재를 넣어 빚고 대나무 통에서 2차 숙성을 거쳐야 비로소 그 향과 맛이 녹아있는 좋은 술로 태어나게 된다.",https://thesool.com/common/imageView.do?targetId=PR00000276&targetNm=PRODUCT
25,대통주,"양주, 청주","국내산 쌀, 국내산 매실농축액, 국내산 대나무잎",11%,360ml,대통주는 국내산 쌀로 빚은 원주에 대나무잎 추출물을 첨가하여 만든 술로 청아한 맛과 향이 일품이다. 또한 전통발효기법으로 40일간 숙성하여 빚은 완숙주로 깊은 맛이 있으며 새콤달콤한 풍미를 구현하기 위해 매실을 첨가하였다.,https://thesool.com/common/imageView.do?targetId=PR00000346&targetNm=PRODUCT
26,동몽,"양주, 청주","홍천 쌀, 정제수, 단호박, 국(밀 누룩)",17%,500ml,"동몽(同夢) 이라는 술은 말 그대로 같은 꿈, 즉 하나가 되는 것을 의미하는데 사람과 사람의 관계에서 소통을 이끌고 하나되어 연결하는 술의 특성을 살펴 만들어진 이름입니다. 동몽은 맑은술(청주)로써 홍천 찹쌀과 미니 단호박, 전통누룩을 원료로 하여 빚은 이양주(두번 빚은 술)이며, 찹쌀을 주 원료로 하여 감칠맛과 향이 뛰어나 묵직한 맛을 느낄 수 있는 술입니다.",https://thesool.com/common/imageView.do?targetId=PR00000327&targetNm=PRODUCT
